"2025/05/27 1:51:19 午後 GMT+9","システム主専攻","知識形成論;学術メディア論;図書館建築論","ディジタルドキュメント;ディジタルライブラリ;博物館情報学;情報検索システム (GE70501);Webプログラミング;マルチメディアシステム;情報デザインとインターフェース;メディアアート;データ構造とアルゴリズム (GE72801)","情報サービス経営論;パブリックガバナンス",""
"2025/05/29 8:19:41 午後 GMT+9","システム主専攻","図書館建築論;データ構造とアルゴリズム (GE61801);情報検索システム (GE61901)","情報サービスシステム;ディジタルライブラリ;Webプログラミング;情報デザインとインターフェース;ヒューマンインターフェース;データ構造とアルゴリズム (GE72801)","パブリックガバナンス;情報サービス構成論;コレクションとアクセス;メディア教育の実践と評価;情報法","読書と豊かな人間性"
"2025/05/29 8:39:57 午後 GMT+9","システム主専攻","図書館建築論;データ構造とアルゴリズム (GE61801);情報検索システム (GE61901);生命情報学","情報サービスシステム;ディジタルドキュメント;ディジタルライブラリ;博物館情報学;情報検索システム (GE70501);マルチメディアシステム;データ表現と処理;情報デザインとインターフェース;ヒューマンインターフェース;データ構造とアルゴリズム (GE72801);マークアップ言語","学校図書館論","読書と豊かな人間性"
"2025/05/29 8:44:09 午後 GMT+9","システム主専攻","テクニカルコミュニケーション;図書館建築論;ソーシャルメディア分析","ディジタルドキュメント;博物館情報学;情報検索システム (GE70501);Webプログラミング;マルチメディアシステム;ヒューマンインターフェース;メディアアート;Human-computer Interaction;データ構造とアルゴリズム (GE72801);マークアップ言語","","ビジネスシステムデザイン基礎Ⅱ;ビジネスシステムデザイン実践Ⅱ"
"2025/05/29 8:48:21 午後 GMT+9","システム主専攻","","博物館情報学;情報検索システム (GE70501);マルチメディアシステム;Human-computer Interaction;データ構造とアルゴリズム (GE72801);マークアップ言語","","体験型システム開発A;体験型システム開発B;ビジネスシステムデザイン基礎Ⅰ;ビジネスシステムデザイン実践Ⅰ"
"2025/05/29 9:46:36 午後 GMT+9","知識科学主専攻","テクニカルコミュニケーション;知識論;知識形成論;学術メディア論;情報評価;データ構造とアルゴリズム (GE61801);情報検索システム (GE61901)","","学術基盤論;情報サービス経営論;パブリックガバナンス;コレクションとアクセス","読書と豊かな人間性"
"2025/05/29 11:26:14 午後 GMT+9","知識科学主専攻","テクニカルコミュニケーション;知識論;知識形成論;学術メディア論;図書館建築論;データ構造とアルゴリズム (GE61801);情報検索システム (GE61901)","情報検索システム (GE70501);データ構造とアルゴリズム (GE72801)","情報サービス構成論;学校図書館論;アーカイブズ資源","情報メディアの活用"
"2025/05/29 11:41:21 午後 GMT+9","情報資源主専攻","テクニカルコミュニケーション;学術メディア論","情報検索システム (GE70501);Webプログラミング","学術基盤論;情報サービス経営論;パブリックガバナンス;情報サービス構成論;コレクションとアクセス;学校図書館論;情報法;知的財産概論A;アーカイブズ資源;アーカイブズ管理","学校図書館メディアの構成;読書と豊かな人間性;インターンシップ"
"2025/05/30 12:28:53 午前 GMT+9","知識科学主専攻","テクニカルコミュニケーション;知識論;知識形成論;身体知;図書館建築論;情報検索システム (GE61901)","博物館情報学;Webプログラミング","情報サービス経営論;学校図書館論;情報法;アーカイブズ資源;アーカイブズ管理",""
"2025/05/30 12:57:39 午後 GMT+9","システム主専攻","身体知;データ構造とアルゴリズム (GE61801);Machine Learning and Information Retrieval (GE62401)","Webプログラミング;マルチメディアシステム;Machine Learning and Information Retrieval (GE72701);データ表現と処理;データベース技術;情報デザインとインターフェース;ヒューマンインターフェース;Human-computer Interaction;知識資源の分類と索引;データ構造とアルゴリズム (GE72801)","学術基盤論;情報サービス経営論;コレクションとアクセス",""
"2025/05/30 12:59:35 午後 GMT+9","知識科学主専攻","テクニカルコミュニケーション;知識論;知識形成論;メディア技術と文化;図書館建築論;情報評価;情報検索システム (GE61901)","ディジタルライブラリ","パブリックガバナンス;メディア教育の実践と評価;アーカイブズ資源",""
"2025/05/30 1:00:45 午後 GMT+9","知識科学主専攻","テクニカルコミュニケーション;知識論;知識形成論;身体知;学術メディア論;図書館建築論;情報評価","","学術基盤論;情報サービス経営論;パブリックガバナンス;コレクションとアクセス;メディア教育の実践と評価;学校図書館論;知的財産概論A;アーカイブズ資源;アーカイブズ管理","読書と豊かな人間性"
"2025/05/30 1:01:53 午後 GMT+9","情報資源主専攻","テクニカルコミュニケーション;知識形成論;身体知;図書館建築論","情報検索システム (GE70501);Webプログラミング;マルチメディアシステム;データ表現と処理","情報サービス経営論;パブリックガバナンス;コレクションとアクセス;メディア教育の実践と評価;学校図書館論;情報法;知的財産概論A","学習指導と学習図書館;学校図書館メディアの構成;読書と豊かな人間性;情報メディアの活用;インターンシップ"
"2025/05/30 1:08:29 午後 GMT+9","情報資源主専攻","テクニカルコミュニケーション;知識論;知識形成論;メディア技術と文化;図書館建築論","","学術基盤論;情報サービス経営論;パブリックガバナンス;情報サービス構成論;コレクションとアクセス;メディア教育の実践と評価;学校図書館論;情報法;アーカイブズ資源;アーカイブズ管理","学習指導と学習図書館;学校図書館メディアの構成;読書と豊かな人間性;情報メディアの活用;インターンシップ"
"2025/05/30 1:20:15 午後 GMT+9","システム主専攻","図書館建築論;データ構造とアルゴリズム (GE61801)","情報サービスシステム;ディジタルドキュメント;情報検索システム (GE70501);Webプログラミング;マルチメディアシステム;データ表現と処理;データベース技術;情報デザインとインターフェース;知識資源の分類と索引;データ構造とアルゴリズム (GE72801)","コレクションとアクセス;知的財産概論A","ビジネスシステムデザイン実践Ⅰ;ビジネスシステムデザイン実践Ⅱ;情報メディアの活用"
"2025/05/30 1:34:27 午後 GMT+9","システム主専攻","図書館建築論","ディジタルドキュメント;ディジタルライブラリ;情報検索システム (GE70501);マルチメディアシステム;データ表現と処理;情報デザインとインターフェース;知識資源の分類と索引;データ構造とアルゴリズム (GE72801)","","学習指導と学習図書館;学校図書館メディアの構成;読書と豊かな人間性;情報メディアの活用"
"2025/05/30 2:15:00 午後 GMT+9","情報資源主専攻","テクニカルコミュニケーション;知識形成論;メディア技術と文化;図書館建築論","","学術基盤論;情報サービス経営論;パブリックガバナンス;情報サービス構成論;コレクションとアクセス;PBL型図書館サービスプログラム開発;メディア教育の実践と評価;学校図書館論;情報法;知的財産概論A;アーカイブズ資源;アーカイブズ管理","学習指導と学習図書館;学校図書館メディアの構成;読書と豊かな人間性;インターンシップ"
"2025/05/30 3:22:47 午後 GMT+9","情報資源主専攻","テクニカルコミュニケーション;知識形成論;図書館建築論","ディジタルライブラリ;博物館情報学","学術基盤論;情報サービス経営論;パブリックガバナンス;情報サービス構成論;コレクションとアクセス;PBL型図書館サービスプログラム開発;メディア教育の実践と評価;学校図書館論;アーカイブズ資源","学習指導と学習図書館;学校図書館メディアの構成;読書と豊かな人間性;インターンシップ;国際インターンシップ"
"2025/06/02 1:44:35 午後 GMT+9","システム主専攻","知識形成論;データ構造とアルゴリズム (GE61801);情報検索システム (GE61901)","情報サービスシステム;ディジタルライブラリ;博物館情報学;情報検索システム (GE70501);マルチメディアシステム;情報デザインとインターフェース;データ構造とアルゴリズム (GE72801);マークアップ言語","情報法","学習指導と学習図書館;読書と豊かな人間性"
"2025/06/02 3:39:08 午後 GMT+9","システム主専攻","知識形成論","情報サービスシステム;ディジタルドキュメント;ディジタルライブラリ;情報検索システム (GE70501);Webプログラミング;情報デザインとインターフェース;データ構造とアルゴリズム (GE72801);マークアップ言語","学校図書館論","学習指導と学習図書館;読書と豊かな人間性;情報メディアの活用"